appid,name,developer,categories,genres,steamspy_tags
202750,Alan Wake's American Nightmare,Remedy Entertainment,Single-player;Full controller support,Action;Adventure,Action;Adventure;Horror
202860,Real Warfare 2: Northern Crusades,Unicorn Games Studio,Single-player;Multi-player;Steam Cloud,Strategy,Strategy;Medieval;RTS
202970,Call of Duty®: Black Ops II,Treyarch,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,Action,Action;Multiplayer;FPS
203140,Hitman: Absolution™,Io-Interactive A/S;Feral Interactive (Mac),Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Stealth;Action;Third Person
203160,Tomb Raider,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux),Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Adventure;Action;Female Protagonist
203210,Titan Attacks!,Puppygames,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Indie;Arcade;Action
203290,America's Army: Proving Grounds,U.S. Army,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Free to Play,Free to Play;FPS;Action
203350,King's Bounty: Warriors of the North,1C-SoftClub,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,RPG;Strategy,RPG;Strategy;Turn-Based Strategy
203510,Fortune Summoners,Lizsoft,Single-player,Action;Indie;RPG,Anime;RPG;Indie
203560,Containment: The Zombie Puzzler,Bootsnake Games,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Casual;Indie;Puzzle
203630,Warlock - Master of the Arcane,Ino-Co Plus,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Turn-Based Strategy;Fantasy
203650,Sonic the Hedgehog 4 - Episode II,SEGA,Single-player;Partial Controller Support,Adventure,Adventure;Platformer;Co-op
203680,F1 RACE STARS™,Codemasters Birmingham,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Racing,Racing;Arcade;Split Screen
203750,Binary Domain,Devil's Details,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Action;Third-Person Shooter;Sci-fi
203770,Crusader Kings II,Paradox Development Studio,Single-player;Multi-player;Steam Trading Cards,RPG;Simulation;Strategy,Grand Strategy;Strategy;Medieval
203830,The Dark Eye: Chains of Satinav,Daedalic Entertainment,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Fantasy
203990,SATAZIUS,ASTRO PORT,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Shoot 'Em Up;Indie;Action
204030,Fable - The Lost Chapters,Lionhead Studios,Single-player,Action;Adventure;RPG,RPG;Adventure;Action
204060,Superbrothers: Sword & Sworcery EP,Capybara;Superbrothers;Jim Guthrie,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;Pixel Graphics
204100,Max Payne 3,Rockstar Studios,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action,Action;Third-Person Shooter;Bullet Time
204120,LEGO® Harry Potter: Years 5-7,Traveller's Tales,Single-player;Shared/Split Screen;Full controller support,Adventure,LEGO;Adventure;Magic
204180,Waveform,Eden Industries,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Adventure;Indie;Strategy,Indie;Puzzle;Great Soundtrack
204220,Snapshot,Retro Affect,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual
204240,The Bridge,Ty Taylor and Mario Castañeda;The Quantum Astrophysicists Guild,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Puzzle;Indie;Casual
204300,Awesomenauts - the 2D moba,Ronimo Games,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards;Includes level editor,Action;Free to Play;Indie;Strategy,MOBA;Multiplayer;Platformer
204340,Serious Sam 2,Croteam,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Includes level editor,Action;Indie,Action;FPS;Co-op
204360,Castle Crashers®,The Behemoth,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG,Co-op;Action;Adventure
204390,Pineapple Smash Crew ,RichMakeGame,Single-player,Action;Indie,Indie;Action;Rogue-like
204440,Pickers,MumboJumbo,Single-player,Adventure;Casual,Casual;Adventure;Hidden Object
204530,Infested Planet,Rocket Bear Games,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Strategy;Action;Tower Defense
204560,Confrontation,Cyanide Studio,Single-player;Multi-player;Steam Achievements;Steam Cloud,Action;RPG;Strategy,RPG;Strategy;Action
204580,Rotastic,Dancing Dots,Single-player;Multi-player;Full controller support,Action;Casual,Action;Casual
204630,Retro City Rampage™ DX,"Vblank Entertainment, Inc.",Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;Racing,Action;Open World;Retro
204760,Deep Black: Reloaded,Biart,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action,Action;Third-Person Shooter;Third Person
204860,Men of War: Condemned Heroes,1C-SoftClub,Single-player;Multi-player;Steam Achievements;Steam Cloud;Includes level editor,Action;Strategy,Strategy;Action;World War II
204880,Sins of a Solar Empire: Rebellion®,Ironclad Games;Stardock Entertainment,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor,Indie;Strategy,Strategy;Space;RTS
204940,Crusader Kings Complete,Paradox Development Studio,Single-player;Multi-player,Strategy,Strategy;Grand Strategy;Medieval
204960,Magical Drop V,Golgoth Studio,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Puzzle;Indie;Casual
205020,Lumino City,State of Play Games,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual
205060,BIT.TRIP CORE,Gaijin Games,Single-player;Partial Controller Support,Action;Indie,Indie;Action;Rhythm
205070,BIT.TRIP VOID,Gaijin Games,Single-player;Full controller support;Steam Cloud,Action;Indie,Indie;Action;Music
205080,BIT.TRIP FATE,Gaijin Games,Single-player;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Music
205090,BIT.TRIP FLUX,Gaijin Games,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual
205100,Dishonored,Arkane Studios,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Stealth;First-Person;Action
205190,Rocksmith™,Ubisoft - San Francisco,Single-player;Shared/Split Screen;In-App Purchases,Casual;Simulation,Music;Simulation;Education
205230,Hell Yeah! Wrath of the Dead Rabbit,Arkedo,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Platformer;Action;2D
205270,3DMark 11,UL,Steam Leaderboards,Utilities,Utilities;Benchmark
205530,Gratuitous Tank Battles,Positech Games,Single-player;Steam Achievements;Steam Cloud,Indie;Simulation;Strategy,Strategy;Indie;Simulation
